Bandit,Reward,Algorithm
3,3.403528718331689,ThompsonSamplingBandit
3,3.9832900826103868,ThompsonSamplingBandit
3,4.26680149476149,ThompsonSamplingBandit
3,3.843415506676962,ThompsonSamplingBandit
3,4.657798922784845,ThompsonSamplingBandit
3,4.677117977633862,ThompsonSamplingBandit
3,3.1243975213861583,ThompsonSamplingBandit
3,2.408708446931896,ThompsonSamplingBandit
3,6.018887952415099,ThompsonSamplingBandit
3,5.695953269470562,ThompsonSamplingBandit
3,4.9857310990968475,ThompsonSamplingBandit
3,2.454191387254438,ThompsonSamplingBandit
3,3.80004694482305,ThompsonSamplingBandit
3,6.626569565625057,ThompsonSamplingBandit
3,1.6026060431580897,ThompsonSamplingBandit
3,2.2350622970959675,ThompsonSamplingBandit
3,3.522496457862969,ThompsonSamplingBandit
3,4.3738103117404386,ThompsonSamplingBandit
3,3.9799938029421313,ThompsonSamplingBandit
3,3.751216265671669,ThompsonSamplingBandit
3,4.830237336162384,ThompsonSamplingBandit
3,3.650469499370243,ThompsonSamplingBandit
3,2.4277032657530224,ThompsonSamplingBandit
3,4.827321975944612,ThompsonSamplingBandit
3,3.2496116709833434,ThompsonSamplingBandit
3,2.628426725302078,ThompsonSamplingBandit
3,3.759167447119144,ThompsonSamplingBandit
3,5.605923548780621,ThompsonSamplingBandit
3,4.223316611160253,ThompsonSamplingBandit
3,5.185009347994007,ThompsonSamplingBandit
3,4.033065453363356,ThompsonSamplingBandit
3,3.5835560333323753,ThompsonSamplingBandit
3,3.022053106607909,ThompsonSamplingBandit
3,3.961932959306395,ThompsonSamplingBandit
3,5.194697111553298,ThompsonSamplingBandit
3,2.8972878635886294,ThompsonSamplingBandit
3,5.788779642879118,ThompsonSamplingBandit
3,2.913608733878407,ThompsonSamplingBandit
3,3.3250674760485825,ThompsonSamplingBandit
3,6.528549357502303,ThompsonSamplingBandit
3,3.475944518490837,ThompsonSamplingBandit
3,4.6510264167364745,ThompsonSamplingBandit
3,4.200026725554734,ThompsonSamplingBandit
3,3.8806019992634404,ThompsonSamplingBandit
3,4.5714409283992286,ThompsonSamplingBandit
3,4.158015645769501,ThompsonSamplingBandit
3,3.225233577051489,ThompsonSamplingBandit
3,3.9815623684204056,ThompsonSamplingBandit
3,4.905684407544809,ThompsonSamplingBandit
3,4.427447582004378,ThompsonSamplingBandit
3,4.322733463035077,ThompsonSamplingBandit
3,3.0518816923926946,ThompsonSamplingBandit
3,4.487174763387817,ThompsonSamplingBandit
3,5.388936972571026,ThompsonSamplingBandit
3,3.1207864206163705,ThompsonSamplingBandit
3,4.644236848678976,ThompsonSamplingBandit
3,2.2586363138429393,ThompsonSamplingBandit
3,2.7660311154577033,ThompsonSamplingBandit
3,3.599479357113126,ThompsonSamplingBandit
3,4.674151587739848,ThompsonSamplingBandit
3,3.922222274159959,ThompsonSamplingBandit
3,2.8532338373194635,ThompsonSamplingBandit
3,2.912244115068594,ThompsonSamplingBandit
3,4.223135143440787,ThompsonSamplingBandit
3,4.46548329261245,ThompsonSamplingBandit
3,4.221348494770086,ThompsonSamplingBandit
3,3.970295180500871,ThompsonSamplingBandit
3,4.060706177465283,ThompsonSamplingBandit
3,4.109401909227317,ThompsonSamplingBandit
3,3.2376947869865154,ThompsonSamplingBandit
3,5.219164074458537,ThompsonSamplingBandit
3,4.327485489349156,ThompsonSamplingBandit
3,3.725154055204924,ThompsonSamplingBandit
3,4.6971598427273715,ThompsonSamplingBandit
3,3.2905078283806644,ThompsonSamplingBandit
3,5.1886785114888685,ThompsonSamplingBandit
3,2.6902222366002335,ThompsonSamplingBandit
3,4.438221062140467,ThompsonSamplingBandit
3,3.6514550715774003,ThompsonSamplingBandit
